comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.88;356;1;0;1;32;521;1;0;5;10000;10000;0;10000;500;0;0;0;1;.039386;NA;.045306;.095186;.095174;.130000;7;61
3.89;355;1;0;1;32;521;1;0;5;10000;10000;0;10000;500;0;0;0;1;.048077;NA;.044118;.168768;.168759;.220000;7;38
3.84;355;1;0;1;32;521;1;0;5;10000;10000;0;10000;500;0;0;0;1;.041083;NA;.043622;.120504;.120500;.160000;7;50
3.87;355;1;0;1;32;521;1;0;5;10000;10000;0;10000;500;0;0;0;1;.040826;NA;.044515;.103752;.103739;.140000;7;56
3.92;355;1;0;1;32;521;1;0;5;10000;10000;0;10000;500;0;0;0;1;.041723;NA;.045134;.087146;.087125;.130000;7;64
4.13;356;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.051048;NA;.049244;.097014;.097006;.150000;7;58
3.68;356;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.041496;NA;.046535;.097584;.097572;.140000;7;60
3.87;355;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.046079;NA;.044905;.135944;.135935;.180000;7;45
3.90;356;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.036592;NA;.038290;.092528;.092521;.130000;7;55
3.84;355;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.037571;NA;.042580;.092522;.092510;.130000;9;60
3.97;355;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.049928;NA;.047090;.095009;.095000;.140000;9;57
3.94;355;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.038618;NA;.041665;.120950;.120937;.160000;7;49
3.98;356;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.047250;NA;.043199;.090036;.090032;.140000;7;59
4.01;356;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.040253;NA;.046549;.168178;.168173;.210000;8;42
4.04;355;1;0;1;32;521;1;0;5;10000;10000;0;1000;500;0;0;0;1;.046467;NA;.044991;.087016;.087008;.130000;9;61
4.05;356;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.040848;NA;.042135;.141917;.141913;.180000;7;44
4.22;356;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.040684;NA;.043184;.097846;.097834;.140000;7;58
3.81;356;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.047040;NA;.041669;.150490;.150481;.200000;9;41
3.81;355;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.040057;NA;.043072;.231316;.231303;.270000;7;30
3.99;357;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.050128;NA;.043870;.116012;.116008;.170000;7;48
3.81;356;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.047177;NA;.044016;.253716;.253711;.300000;8;27
4.01;355;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.045704;NA;.042968;.103616;.103612;.150000;7;53
3.81;357;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.038317;NA;.036977;.103825;.103821;.140000;7;50
4.29;356;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.040987;NA;.042866;.112974;.112966;.150000;7;51
3.83;356;1;0;1;32;521;1;0;5;10000;10000;0;100;500;0;0;0;1;.039784;NA;.044223;.230927;.230915;.270000;9;30
3.98;355;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.041302;NA;.041711;.073720;.073714;.120000;7;69
3.97;356;1;0;1;32;522;1;0;5;10000;10000;0;25000;500;0;0;0;1;.038675;NA;.043033;.060491;.060472;.100000;9;80
