comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000364;NA;.000088;.000096;.000132;.000833;5;845
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000357;NA;.000097;.000093;.000126;.000416;5;994
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000372;NA;.000114;.000096;.000128;.000833;8;908
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000330;NA;.000087;.000081;.000107;.000416;5;815
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000556;NA;.000074;.000147;.000238;.000833;5;630
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000395;NA;.000093;.000100;.000134;.000416;5;915
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000572;NA;.000112;.000148;.000231;.000833;5;770
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000320;NA;.000116;.000143;.000172;.000833;5;863
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000354;NA;.000108;.000113;.000157;.000833;5;885
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000542;NA;.000097;.000137;.000257;.000833;6;791
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000403;NA;.000095;.000113;.000158;.000833;5;860
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000574;NA;.000096;.000103;.000197;.000833;8;791
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000803;NA;.000091;.000158;.000283;.001250;8;530
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000303;NA;.000075;.000109;.000160;.000416;5;811
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000376;NA;.000076;.000246;.000381;.000833;5;645
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000795;NA;.000084;.000104;.000208;.001250;5;516
